nginx-web  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
nginx-web  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
nginx-web  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
nginx-web  | 10-listen-on-ipv6-by-default.sh: info: can not modify /etc/nginx/conf.d/default.conf (read-only file system?)
nginx-web  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
nginx-web  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
nginx-web  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
nginx-web  | /docker-entrypoint.sh: Configuration complete; ready for start up
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: using the "epoll" event method
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: nginx/1.29.3
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: OS: Linux 6.6.87.2-microsoft-standard-WSL2
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker processes
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 22
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 23
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 24
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 25
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 26
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 27
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 28
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 29
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 30
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 31
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 32
nginx-web  | 2026/01/16 11:21:40 [notice] 1#1: start worker process 33
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:22:29 +0000] "GET / HTTP/1.1" 301 169 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:22:29 +0000] "GET / HTTP/1.1" 301 169 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:22:29 +0000] "GET / HTTP/1.1" 301 169 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:22:29 +0000] "GET / HTTP/1.1" 301 169 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:22:29 +0000] "GET / HTTP/1.1" 301 169 "-" "curl/8.16.0" "-"
